FLH_1,FLH_2,FLK_1,FLK_2,FLA_1,FLA_2,FRH_1,FRH_2,FRK_1,FRK_2,FRA_1,FRA_2,RLH_1,RLH_2,RLK_1,RLK_2,RLA_1,RLA_2,RRH_1,RRH_2,RRK_1,RRK_2,RRA_1,RRA_2,FS_1,FS_2,RS_1,RS_2,FLT,FRT,RLT,RRT
-1.035652722,0,-2.484950841,0,-2.110366403,0,-0.845596282,0,-2.419616587,0,-1.216500113,0,-0.874670655,0,-2.136074376,0,-0.772580408,0,-0.983635864,0,-2.436414514,0,-1.204101301,0,0,0,0,0,1,1,1,1
-1.033646356,0,-2.486765572,0,-2.094875807,0,-0.845596271,0,-2.419616476,0,-1.216500215,0,-0.870226324,0,-2.21262519,0,-0.799061235,0,-0.983636118,0,-2.436408399,0,-1.204113142,0,0,0,0,0,1,1,1,1
-1.017850006,0,-2.506182084,0,-2.006064039,0,-0.845596264,0,-2.41961641,0,-1.216500276,0,-0.872035601,0,-2.222994729,0,-0.864907585,0,-0.983636213,0,-2.436406117,0,-1.20411756,0,0,0,0,0,1,1,1,1
-0.99639974,0,-2.548452038,0,-1.85584812,0,-0.84559626,0,-2.41961637,0,-1.216500312,0,-0.867192599,0,-2.295983418,0,-0.896608066,0,-0.983636249,0,-2.436405266,0,-1.204119208,0,0,0,0,0,1,1,1,1
-0.980255272,0,-2.615430443,0,-1.624538178,0,-0.845596258,0,-2.419616345,0,-1.216500334,0,-0.868110339,0,-2.301719751,0,-0.968285747,0,-0.983636262,0,-2.436404948,0,-1.204119824,0,0,0,0,0,0,1,1,1
-0.979657205,0,-2.622782848,0,-1.399570418,0,-0.845596256,0,-2.419616331,0,-1.216500348,0,-0.863046951,0,-2.37105621,0,-1.003000688,0,-0.983636267,0,-2.43640483,0,-1.204120053,0,0,0,0,0,0,1,1,1
-0.980825458,0,-2.584596844,0,-1.284275521,0,-0.845596255,0,-2.419616322,0,-1.216500356,0,-0.863072057,0,-2.3712354,0,-1.080555944,0,-0.983636269,0,-2.436404785,0,-1.204120139,0,0,0,0,0,1,1,1,1
-0.981582815,0,-2.527893151,0,-1.210461498,0,-0.845596255,0,-2.419616317,0,-1.21650036,0,-0.858060458,0,-2.436810007,0,-1.116219275,0,-0.983636269,0,-2.436404769,0,-1.204120171,0,0,0,0,0,1,1,1,1
-0.982043291,0,-2.464826341,0,-1.15456528,0,-0.845596254,0,-2.419616314,0,-1.216500363,0,-0.857372896,0,-2.430736416,0,-1.199410034,0,-0.98363627,0,-2.436404763,0,-1.204120183,0,0,0,0,0,1,1,1,1
-0.982593403,0,-2.446341425,0,-1.186672302,0,-0.845596254,0,-2.419616312,0,-1.216500365,0,-0.857772274,0,-2.435551447,0,-1.276607402,0,-0.98363627,0,-2.43640476,0,-1.204120187,0,0,0,0,0,1,1,1,1
-0.982834464,0,-2.439953781,0,-1.198666457,0,-0.845596254,0,-2.419616311,0,-1.216500366,0,-0.854831087,0,-2.505243124,0,-1.299970228,0,-0.98363627,0,-2.43640476,0,-1.204120189,0,0,0,0,0,1,1,1,1
-0.982928971,0,-2.43763019,0,-1.203118604,0,-0.845596254,0,-2.41961631,0,-1.216500367,0,-0.854236818,0,-2.493938296,0,-1.387865595,0,-0.98363627,0,-2.436404759,0,-1.204120189,0,0,0,0,0,1,1,1,1
-0.982964917,0,-2.436769514,0,-1.204778827,0,-0.845596254,0,-2.41961631,0,-1.216500367,0,-0.854209747,0,-2.490156907,0,-1.470624926,0,-0.98363627,0,-2.436404759,0,-1.204120189,0,0,0,0,0,1,1,1,1
-0.982978451,0,-2.436448591,0,-1.205399371,0,-0.845596254,0,-2.41961631,0,-1.216500367,0,-0.854263129,0,-2.488904544,0,-1.550648617,0,-0.98363627,0,-2.436404759,0,-1.20412019,0,0,0,0,0,1,1,1,1
-0.982983529,0,-2.436328632,0,-1.205631532,0,-0.845596254,0,-2.419616309,0,-1.216500367,0,-0.854380406,0,-2.487731669,0,-1.62936428,0,-0.98363627,0,-2.436404759,0,-1.20412019,0,0,0,0,0,1,1,1,1
-0.982985431,0,-2.436283751,0,-1.205718421,0,-0.845596254,0,-2.419616309,0,-1.216500367,0,-0.854774179,0,-2.485395009,0,-1.707461808,0,-0.98363627,0,-2.436404759,0,-1.20412019,0,0,0,0,0,1,1,1,1
-0.982986143,0,-2.436266954,0,-1.205750944,0,-0.845596254,0,-2.419616309,0,-1.216500367,0,-0.855803864,0,-2.481321762,0,-1.785123694,0,-0.98363627,0,-2.436404759,0,-1.20412019,0,0,0,0,0,1,1,1,1
-0.98298641,0,-2.436260667,0,-1.205763119,0,-0.845596254,0,-2.419616309,0,-1.216500367,0,-0.853765928,0,-2.492276771,0,-1.721698939,0,-0.98363627,0,-2.436404759,0,-1.20412019,0,0,0,0,0,1,1,1,1
-0.982986509,0,-2.436258313,0,-1.205767676,0,-0.845596254,0,-2.419616309,0,-1.216500367,0,-0.851088362,0,-2.518443116,0,-1.634393424,0,-0.98363627,0,-2.436404759,0,-1.20412019,0,0,0,0,0,1,1,1,1
-0.982986547,0,-2.436257432,0,-1.205769382,0,-0.845596254,0,-2.419616309,0,-1.216500367,0,-0.850497761,0,-2.558914922,0,-1.52356688,0,-0.98363627,0,-2.436404759,0,-1.20412019,0,0,0,0,0,1,1,1,1
-0.982986561,0,-2.436257102,0,-1.20577002,0,-0.845596254,0,-2.419616309,0,-1.216500367,0,-0.853824619,0,-2.609230932,0,-1.395851668,0,-0.98363627,0,-2.436404759,0,-1.20412019,0,0,0,0,0,1,1,1,1
-0.982986566,0,-2.436256979,0,-1.20577026,0,-0.845596254,0,-2.419616309,0,-1.216500367,0,-0.854282933,0,-2.613196465,0,-1.301314152,0,-0.98363627,0,-2.436404759,0,-1.20412019,0,0,0,0,0,1,1,0,1
-0.982986568,0,-2.436256933,0,-1.205770349,0,-0.845596254,0,-2.419616309,0,-1.216500367,0,-0.850432318,0,-2.584394216,0,-1.24460998,0,-0.98363627,0,-2.436404759,0,-1.20412019,0,0,0,0,0,1,1,0,1
-0.982986569,0,-2.436256915,0,-1.205770383,0,-0.845596254,0,-2.419616309,0,-1.216500367,0,-0.843986809,0,-2.537782733,0,-1.205698619,0,-0.98363627,0,-2.436404759,0,-1.20412019,0,0,0,0,0,1,1,1,1
