Front Left,Front Right,Back Left,Back Right
"((-0.2900922582952168, -0.352191340001991), -2.3912778750928485)","((0.16680174215258733, -0.1994421690988688), -2.495839599943472)","((0.13416886146226137, -0.22270769320775724), -2.443263014529129)","((-0.2662719376128806, -0.3368548542811322), -1.8907710702484808)"
[-1.03331963 -2.39127788 -0.24907875         inf],[-0.87428542 -2.4958396  -1.45417136         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.96420717 -1.89077107 -0.22352118         inf]
"((-0.2873310900358311, -0.35053093263598323), -2.3307301475485325)","((0.166800625904411, -0.19944310265811835), -2.4956100872745983)","((0.13416886146226534, -0.22270769320775485), -2.443263014529024)","((-0.26533926992844725, -0.3362058026897897), -1.9506388448899896)"
[-1.02546118 -2.33073015 -0.04556357         inf],[-0.87429102 -2.49561009 -1.53366107         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.96143575 -1.95063884 -0.27961202         inf]
"((-0.28370134429255967, -0.34830287328581455), -2.2503141051580817)","((0.16679771793433534, -0.19944553465018441), -2.4954221379139088)","((0.1341688614622673, -0.22270769320775366), -2.443263014528973)","((-0.2643711751900268, -0.33552802702407875), -2.00970435359811)"
[-1.01507326 -2.25031411  0.16629219         inf],[-0.8743056  -2.49542214 -1.61191716         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.95855337 -2.00970435 -0.34353515         inf]
"((-0.27917699941411966, -0.3454521709473661), -2.150394209357355)","((0.1667576169509303, -0.19947906453772737), -2.4939942305509284)","((0.1341688614622683, -0.22270769320775305), -2.4432630145289482)","((-0.26336644659076913, -0.33482019264214136), -2.0675349904838765)"
[-1.00203038 -2.15039421  0.38674921         inf],[-0.87450665 -2.49399423 -1.6896687          inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.95555574 -2.06753499 -0.41482989         inf]
"((-0.2735332763882832, -0.3417789096719899), -2.034118185097582)","((0.16661513594845317, -0.19959808734774606), -2.4907202397578594)","((0.13416886146226892, -0.22270769320775272), -2.4432630145289362)","((-0.26233206257528086, -0.33408674250900733), -2.123655275495622)"
[-0.98560623 -2.03411819  0.61211069         inf],[-0.8752207  -2.49072024 -1.76713578         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.95246299 -2.12365528 -0.49283996         inf]
"((-0.2714795494854746, -0.34040917099372975), -1.9685127681023422)","((0.16710866122581483, -0.19918507811408928), -2.506579675458175)","((0.1341688614622691, -0.2227076932077526), -2.44326301452893)","((-0.26320832846039127, -0.33470838694224264), -2.1652474679916036)"
[-0.97958524 -1.96851277  0.66130843         inf],[-0.87274554 -2.50657968 -1.70377502         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.95508342 -2.16524747 -0.56939695         inf]
"((-0.2707746791584953, -0.3399349236031938), -1.9264711447988399)","((0.16761717956561487, -0.19875734229071496), -2.5423925917437824)","((0.13416886146226928, -0.22270769320775247), -2.4432630145289274)","((-0.26236041682773903, -0.3341069117957814), -2.22561952824082)"
[-0.97751315 -1.92647114  0.60485775         inf],[-0.87018981 -2.54239259 -1.60991044         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.95254785 -2.22561953 -0.6525381          inf]
"((-0.270397237764046, -0.3396801018217287), -1.891686234584709)","((0.16739266877573367, -0.19894646124054965), -2.597505205669158)","((0.13416886146226928, -0.22270769320775247), -2.4432630145289256)","((-0.2628633218495414, -0.3344640427247237), -2.258253156706698)"
[-0.97640239 -1.89168623  0.49429186         inf],[-0.87131884 -2.59750521 -1.48510592         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.95405227 -2.25825316 -0.75594636         inf]
"((-0.2699857125362084, -0.33940157271663346), -1.8533096453052824)","((0.16597115986844838, -0.200133890413198), -2.665326286592383)","((0.13416886146226928, -0.22270769320775247), -2.443263014528925)","((-0.26222250766366584, -0.33400877853470334), -2.316975150247834)"
[-0.97519039 -1.85330965  0.3679677          inf],[-0.87844274 -2.66532629 -1.33968253         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.95213502 -2.31697515 -0.83240569         inf]
"((-0.26941440389397797, -0.33901369126988135), -1.809621415334422)","((0.16599961721294676, -0.200110287304664), -2.664364641398832)","((0.13416886146226928, -0.22270769320775247), -2.4432630145289247)","((-0.2623047967819262, -0.3340673440597248), -2.3375300735459392)"
[-0.97350615 -1.80962142  0.24708453         inf],[-0.87830054 -2.66436464 -1.25193248         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.95238137 -2.33753007 -0.96163939         inf]
"((-0.2686376159663537, -0.3384840428355044), -1.7621594896284325)","((0.16731752361258284, -0.19900966381598859), -2.6224253149260366)","((0.1364763582325753, -0.22130116051113194), -2.4876602908390817)","((-0.26212564503028923, -0.33393980183222244), -2.394223449910224)"
[-0.97121304 -1.76215949  0.13197152         inf],[-0.8716965  -2.62242531 -1.20705484         inf],[-1.01818805 -2.48766029 -1.04617795         inf],[-0.95184499 -2.39422345 -1.02639167         inf]
"((-0.26763367384379644, -0.3377956341764482), -1.7116739866442483)","((0.16916669759479044, -0.19744018948753247), -2.5622658274794956)","((0.13740606800629454, -0.22072510612762103), -2.463981445198296)","((-0.2620188311835473, -0.3338636896830127), -2.401231727082311)"
[-0.96824403 -1.71167399  0.01851779         inf],[-0.8623679  -2.56226583 -1.17854225         inf],[-1.01398147 -2.46398145 -1.06115076         inf],[-0.9515251  -2.40123173 -1.17733163         inf]
"((-0.26639913283313477, -0.3369430736176195), -1.65840653598908)","((0.17112551702252535, -0.1957448784100708), -2.49488715261811)","((0.1378242232522361, -0.22046424536626746), -2.453025201954504)","((-0.2626805195266121, -0.33433435986724613), -2.4555404770553304)"
[-0.96458471 -1.65840654 -0.09531739         inf],[-0.85240413 -2.49488715 -1.15918041         inf],[-1.01208589 -2.4530252  -1.06917869         inf],[-0.95350561 -2.45554048 -1.22720249         inf]
"((-0.2674759666700261, -0.3376870946956089), -1.7046593974287196)","((0.17196045358774995, -0.19501180067343435), -2.4616687528901737)","((0.13758858067160876, -0.22061138336172095), -2.458586993506829)","((-0.2629537004966387, -0.33452810329143157), -2.4494022293414783)"
[-0.96777708 -1.7046594  -0.1151453          inf],[-0.8481307  -2.46166875 -1.18245625         inf],[-1.01315438 -2.45858699 -0.96577594         inf],[-0.95432247 -2.44940223 -1.39280411         inf]
"((-0.266756943043611, -0.3371908604657585), -1.7725445817475212)","((0.17237030219515076, -0.19464963118678752), -2.443738585596309)","((0.13715285708052063, -0.22088253392844417), -2.4679965104284998)","((-0.2629309151206748, -0.3345119564297804), -2.4496906075269713)"
[-0.96564625 -1.77254458 -0.14114258         inf],[-0.84602709 -2.44373859 -1.19683798         inf],[-1.01512824 -2.46799651 -0.85328466         inf],[-0.95425435 -2.44969061 -1.54397635         inf]
"((-0.2658753728444479, -0.3365793501676443), -1.8332593321662518)","((0.17258857668367736, -0.19445612152437483), -2.433595053734481)","((0.13694913469027695, -0.22100890142160426), -2.472146170610513)","((-0.26563142109878063, -0.33640952605986485), -2.5096142000081105)"
[-0.96302943 -1.83325933 -0.18217791         inf],[-0.84490516 -2.43359505 -1.20547731         inf],[-1.01605029 -2.47214617 -0.74088971         inf],[-0.96230445 -2.5096142  -1.54748778         inf]
"((-0.26496921124198447, -0.3359472106384946), -1.893461716880779)","((0.17271062813670454, -0.1943477268419288), -2.4277053454200512)","((0.1372372351220667, -0.2208301186343262), -2.466441306843801)","((-0.26792175280934993, -0.33799362002989863), -2.490829772737088)"
[-0.96033463 -1.89346172 -0.23058478         inf],[-0.84427733 -2.42770535 -1.21065029         inf],[-1.01474619 -2.46644131 -0.63143264         inf],[-0.9690966  -2.49082977 -1.71480834         inf]
"((-0.26403483071017775, -0.3352915729361916), -1.953185602199767)","((0.1727809114974429, -0.19428524550802312), -2.424234122967119)","((0.1380850999873683, -0.22030094226189434), -2.449684134555154)","((-0.27052521933738816, -0.3397665743416297), -2.4774673240118035)"
[-0.95755059 -1.9531856  -0.28700557         inf],[-0.84391563 -2.42423412 -1.21375109         inf],[-1.01090215 -2.44968413 -0.52367796         inf],[-0.97677912 -2.47746732 -1.86584133         inf]
"((-0.26306606067114535, -0.3346076932679681), -2.01207339382238)","((0.17282211000670322, -0.19424859920429535), -2.422170327690469)","((0.13945921157918953, -0.21943365353953997), -2.421915174137232)","((-0.2741378872323441, -0.34217876324536955), -2.465593368244931)"
[-0.9546583  -2.01207339 -0.35120488         inf],[-0.84370356 -2.42217033 -1.21561254         inf],[-1.00465244 -2.42191517 -0.41567141         inf],[-0.9873742  -2.46559337 -2.00485524         inf]
