Front Left,Front Right,Back Left,Back Right
[-0.7334879  -1.9086573  -0.61470137         inf],[-0.71685888 -2.4055722  -2.01853288         inf],[-0.71190559 -2.40945691 -2.02268566         inf],[-0.63976739 -1.85640537 -0.95086608         inf]
"((-0.19513568945122695, -0.2741491421719595), -1.946182805606644)","((0.18842793993031767, -0.1791505273606991), -2.4417328632578323)","((0.18903445588772053, -0.17851043243248682), -2.4454460479683715)","((-0.17137831300436573, -0.24516889451181068), -1.9732531419886872)"
[-0.73240042 -1.94618281 -0.77863218         inf],[-0.76016425 -2.44173286 -2.05650635         inf],[-0.75677268 -2.44544605 -2.06039106         inf],[-0.64096965 -1.97325314 -0.92069669         inf]
"((-0.19518139275634833, -0.274199957472718), -2.053970296107453)","((0.18801934435599313, -0.17957930322824642), -2.439658290099712)","((0.18826791786898747, -0.17931868586758098), -2.4692567081578933)","((-0.17055237401951873, -0.24405790652184356), -1.9886093026218967)"
[-0.73256712 -2.0539703  -0.79072204         inf],[-0.76244226 -2.43965829 -2.085933           inf],[-0.76105706 -2.46925671 -2.0963802          inf],[-0.63759315 -1.9886093  -1.12830783         inf]
"((-0.19458880462827766, -0.27353976263354407), -2.079709034142306)","((0.19036618140784045, -0.1770895733130474), -2.4543031757533065)","((0.19184149717916688, -0.1754902845175644), -2.491598674187838)","((-0.1714702522130797, -0.2452920806285081), -2.095811825712743)"
[-0.73040336 -2.07970903 -0.98568248         inf],[-0.7492827  -2.45430318 -2.03704123         inf],[-0.74091406 -2.49159867 -2.06118097         inf],[-0.64134456 -2.09581183 -1.1179344          inf]
"((-0.19510401981861147, -0.27411392023979797), -2.1794584491289033)","((0.19456303221985244, -0.17246804484720252), -2.4938867099837703)","((0.1969123121884982, -0.1697808626099521), -2.5429411313308052)","((-0.17129288877980287, -0.24505435118208557), -2.0978195419697903)"
[-0.73228489 -2.17945845 -1.01298674         inf],[-0.7252715  -2.49388671 -1.94520482         inf],[-0.71154323 -2.54294113 -1.95566202         inf],[-0.64062114 -2.09781954 -1.34395957         inf]
"((-0.19464696177238078, -0.2736046820600153), -2.1882203658859396)","((0.19850632067367668, -0.1679143848888458), -2.5747345932600743)","((0.20077509427356538, -0.16519491977491602), -2.6429325648718245)","((-0.17354382014359787, -0.24804508185723903), -2.196055184728805)"
[-0.73061594 -2.18822037 -1.23553377         inf],[-0.70210278 -2.57473459 -1.77838848         inf],[-0.68848119 -2.64293256 -1.76133977         inf],[-0.6497508  -2.19605518 -1.33836923         inf]
"((-0.19635227142353334, -0.275496019808549), -2.2798551297353047)","((0.19871506651138052, -0.16766729657681498), -2.6251944226063495)","((0.2005602528829953, -0.16545568882183828), -2.7026221478387247)","((-0.1750531652319821, -0.2500191084182296), -2.1857927330958553)"
[-0.7368272  -2.27985513 -1.26153513         inf],[-0.7008587  -2.62519442 -1.52740259         inf],[-0.6897807  -2.70262215 -1.49538915         inf],[-0.65581163 -2.18579273 -1.57006588         inf]
"((-0.1971835743873691, -0.2764095012462306), -2.271769391862793)","((0.1988047722605366, -0.16756092183571972), -2.61691570601477)","((0.20075288378910164, -0.16522191032172293), -2.691045642591833)","((-0.17694067754034698, -0.2524533108753179), -2.1794130852761793)"
[-0.73983968 -2.27176939 -1.49742329         inf],[-0.70032351 -2.61691571 -1.38735926         inf],[-0.68861563 -2.69104564 -1.36028853         inf],[-0.66332449 -2.17941309 -1.78702724         inf]
"((-0.19809289396575186, -0.27740241405947647), -2.267212177313511)","((0.19963194826404543, -0.16657456358130282), -2.5628583139618755)","((0.20196303530115792, -0.16374044207813548), -2.6298632727144233)","((-0.1838775906528055, -0.26108738443005014), -2.2187909396250136)"
[-0.74312354 -2.26721218 -1.71934148         inf],[-0.69537237 -2.56285831 -1.30938145         inf],[-0.68125828 -2.62986327 -1.28611876         inf],[-0.69033887 -2.21879094 -1.83034723         inf]
"((-0.20062482824069544, -0.28013301578729854), -2.2639654467421355)","((0.20085286687424103, -0.16510035090331704), -2.483939240332173)","((0.2035945584782669, -0.161707315103676), -2.5445961940571644)","((-0.1935087075459342, -0.27232900625867285), -2.2682772877327277)"
[-0.75220607 -2.26396545 -1.91814633         inf],[-0.68801027 -2.48393924 -1.26127267         inf],[-0.67123204 -2.54459619 -1.23816449         inf],[-0.72644601 -2.26827729 -1.86972509         inf]
"((-0.2101384987065784, -0.28996604985398505), -2.313622363225102)","((0.20127543063242206, -0.16458493559172738), -2.440666500336417)","((0.20419326705259253, -0.1609506436470157), -2.5014176509219235)","((-0.20484377555856148, -0.28457477606681014), -2.3152487689970016)"
[-0.78557847 -2.31362236 -1.9148996          inf],[-0.68544683 -2.4406665  -1.29333013         inf],[-0.66752094 -2.50141765 -1.26615258         inf],[-0.76714785 -2.31524877 -1.91921144         inf]
"((-0.22172692665804966, -0.3011047934736767), -2.3589509212348982)","((0.20143097177666255, -0.16439453643326893), -2.414603895945011)","((0.20445105130659547, -0.16062306067195914), -2.4772174707114107)","((-0.21788216396983034, -0.2975055068291246), -2.360003779823236)"
[-0.82478509 -2.35895092 -1.96455651         inf],[-0.68450123 -2.4146039  -1.3153222          inf],[-0.66591767 -2.47721747 -1.28477768         inf],[-0.81193964 -2.36000378 -1.96618292         inf]
"((-0.23536597154765476, -0.3131594338114107), -2.4017676654743507)","((0.20148706636614477, -0.16432578034856482), -2.3980343775223374)","((0.20457489981583107, -0.16046529333579482), -2.4628929733519778)","((-0.2325792478301028, -0.3107831097548359), -2.40248767614311)"
[-0.86918554 -2.40176767 -2.00988507         inf],[-0.68415994 -2.39803438 -1.33022236         inf],[-0.66514624 -2.46289297 -1.29668208         inf],[-0.86025297 -2.40248768 -2.01093793         inf]
"((-0.25089089950826177, -0.32564498468761505), -2.4420894636892845)","((0.2015045767620629, -0.16430430774615098), -2.387141708046251)","((0.2046394684676788, -0.16038294156569735), -2.454141772063527)","((-0.2488716026216613, -0.3240903084484126), -2.442619765954972)"
[-0.91778217 -2.44208946 -2.05270182         inf],[-0.68405338 -2.38714171 -1.34037473         inf],[-0.66474375 -2.45414177 -1.30425458         inf],[-0.91156644 -2.44261977 -2.05342183         inf]
"((-0.2681428142165235, -0.338145302200942), -2.479893111550947)","((0.20150731856617174, -0.16430094511070648), -2.3798245181233306)","((0.20467527963073134, -0.1603372380580442), -2.4486925613583836)","((-0.266676980989353, -0.3371355347627379), -2.4803063048283978)"
